home_team,date,plays
BOS,20081028,[]
CHI,20081028,[]
LAL,20081028,[]
ORL,20081029,[]
PHI,20081029,[]
WAS,20081029,[]
NYK,20081029,[]
DET,20081029,[]
MIN,20081029,"[(""Gomes 21' Jump Shot (12 PTS) (Miller 6 AST)"", 20.6), (""MISS Foye 17' Jump Shot"", 23.5), (""MISS Martin 19' Jump Shot"", 34.9), (""MISS Martin 25' 3PT Jump Shot"", 80.1), (""MISS Salmons 7' Running Jump Shot"", 48.0)]"
OKC,20081029,[]
SAS,20081029,"[(""MISS Parker 26' 3PT Jump Shot"", 32.6), (""MISS Duncan 25' 3PT Jump Shot"", 37.0)]"
HOU,20081029,[]
UTA,20081029,"[(""Boozer 8' Jump Shot (25 PTS)"", 23.2), (""MISS Martin 25' 3PT Jump Shot"", 43.0)]"
GSW,20081029,"[(""MISS West 17' Jump Shot"", 20.3), (""MISS Jackson 27' 3PT Jump Shot"", 33.0), (""MISS Stojakovic 29' 3PT Jump Shot"", 33.8), (""MISS Harrington 2' Driving Layup"", 25.0), (""MISS Jackson 5' Jump Shot"", 31.1), (""MISS Paul 18' Jump Shot"", 23.7), (""'Maggette Free Throw 1 of 2 (26 PTS)'"", 21.0), (""Paul 3' Driving Layup (21 PTS)"", 36.9), (""MISS Harrington 26' 3PT Jump Shot"", 35.1)]"
LAC,20081029,[]
CLE,20081030,[]
DAL,20081030,[]
PHO,20081030,[]
PHI,20081031,[]
TOR,20081031,"[(""MISS Maggette 17' Jump Shot"", 22.9), (""'Bosh  Driving Dunk (25 PTS)'"", 34.2), (""MISS Maggette 10' Jump Shot"", 35.6), (""Harrington 26' 3PT Jump Shot (20 PTS)"", 54.4), (""MISS Maggette 9' Running Jump Shot"", 48.0), (""MISS Parker 25' 3PT Jump Shot"", 50.2), (""''"", 50.0)]"
MIA,20081031,[]
BOS,20081031,[]
MEM,20081031,"[(""'Nelson  3PT Jump Shot (11 PTS) (Turkoglu 7 AST)'"", 21.0), (""MISS Gay 25' 3PT Jump Shot"", 25.0), (""MISS Ross 24' 3PT Jump Shot"", 26.3), (""MISS Gay 7' Jump Bank Shot"", 24.3), (""MISS Bogans 2' Layup"", 29.1), (""MISS Ross 22' Jump Shot"", 33.9), (""'Gasol REBOUND (Off:3 Def:2)'"", 22.3), (""MISS Gay 21' Jump Shot"", 45.0), (""Gay 18' Jump Shot (29 PTS) (Lowry 4 AST)"", 48.0)]"
LAC,20081031,"[(""Martin 3' Driving Jump Shot (10 PTS)"", 22.5), (""MISS Thornton 21' Jump Shot"", 29.1), (""MISS Iverson 10' Pullup Jump Shot"", 32.8), (""'Thornton REBOUND (Off:6 Def:4)'"", 21.6), (""Thomas 11' Turnaround Jump Shot (20 PTS)"", 35.2), (""'Kleiza Free Throw 1 of 2 (5 PTS)'"", 21.4), (""'Kleiza Free Throw 2 of 2 (6 PTS)'"", 22.3), (""''"", 50.0)]"
POR,20081031,"[(""MISS Aldridge 24' 3PT Jump Shot"", 25.2), (""MISS Roy 19' Jump Shot"", 22.6), (""'Parker  Reverse Layup (22 PTS)'"", 23.6), (""'MISS Udoka  3PT Jump Shot'"", 42.0), (""Aldridge 21' Jump Shot (23 PTS) (Roy 7 AST)"", 23.6), (""MISS Finley 15' Jump Shot"", 93.4)]"
ATL,20081101,"[(""MISS Iguodala 21' Jump Shot"", 21.1), (""'Johnson  Dunk (32 PTS) (Smith 3 AST)'"", 21.4), (""'Murray  Driving Layup (4 PTS)'"", 24.3), (""MISS Brand 13' Turnaround Jump Shot"", 23.3)]"
CHA,20081101,[]
IND,20081101,[]
ORL,20081101,[]
DET,20081101,[]
NJN,20081101,[]
MIN,20081101,[]
NOH,20081101,[]
CHI,20081101,[]
HOU,20081101,[]
MIL,20081101,"[(""MISS Jefferson 25' 3PT Jump Shot"", 23.1), (""Moon 27' 3PT Jump Shot (13 PTS) (Bosh 5 AST)"", 32.2), (""MISS Mbah a Moute 16' Jump Shot"", 25.7), (""'MISS Parker  3PT Jump Shot'"", 29.2), (""Mbah a Moute 4' Hook Shot (9 PTS) (Sessions 9 AST)"", 32.3), (""Calderon 28' 3PT Jump Shot (23 PTS) (Bosh 6 AST)"", 54.7), (""MISS Redd 20' Jump Shot"", 29.0)]"
DEN,20081101,"[(""MISS Anthony 24' 3PT Jump Shot"", 21.3)]"
UTA,20081101,[]
PHO,20081101,[]
NYK,20081102,[]
OKC,20081102,"[(""MISS Foye 24' 3PT Jump Shot"", 25.7), (""MISS Gomes 17' Jump Shot"", 20.1), (""'MISS Jefferson  Layup'"", 22.8), (""MISS Watson 12' Jump Shot"", 21.2), (""'MISS Foye  Layup'"", 29.7), (""Collison 5' Running Hook Shot (10 PTS)"", 22.6), (""'MISS Gomes  3PT Jump Shot'"", 48.7)]"
CHA,20081103,[]
ORL,20081103,"[(""MISS Gordon 16' Running Jump Shot"", 27.8), (""MISS Nocioni 25' 3PT Jump Shot"", 44.3)]"
PHI,20081103,[]
MEM,20081103,[]
DAL,20081103,[]
LAC,20081103,[]
NJN,20081104,[]
HOU,20081104,[]
SAS,20081104,[]
IND,20081105,[]
TOR,20081105,"[(""MISS Parker 24' 3PT Jump Shot"", 20.9)]"
MIA,20081105,[]
NYK,20081105,"[(""MISS Richardson 27' 3PT Jump Shot"", 44.3)]"
CLE,20081105,[]
