home_team,date,plays
BOS,20101026,[]
POR,20101026,[]
LAL,20101026,"[(""MISS Gasol 7' Turnaround Jump Shot"", 22.3), (""Gasol 13' Running Jump Shot (29 PTS)"", 31.8), (""Scola 3' Layup (18 PTS) (Brooks 9 AST)"", 34.2), (""Blake 27' 3PT Jump Shot (10 PTS) (Bryant 7 AST)"", 55.7), (""MISS Scola 3' Layup"", 42.0), (""MISS Brooks 4' Jump Shot"", 48.0)]"
CLE,20101027,"[(""MISS Allen 24' 3PT Jump Shot"", 31.6)]"
NJN,20101027,"[(""MISS Stuckey 13' Turnaround Jump Shot"", 23.5), (""Morrow 27' 3PT Jump Shot (13 PTS) (Harris 9 AST)"", 53.3), (""MISS Villanueva 26' 3PT Jump Shot"", 49.7), (""MISS Villanueva 25' 3PT Jump Shot"", 43.0), (""MISS Stuckey 24' 3PT Jump Shot"", 48.7)]"
PHI,20101027,[]
TOR,20101027,"[(""MISS Kleiza 24' 3PT Jump Shot"", 33.1), (""MISS Barbosa 24' 3PT Jump Shot"", 40.8)]"
MEM,20101027,[]
MIN,20101027,"[(""Ridnour 25' 3PT Pullup Jump Shot (20 PTS)"", 20.8), (""Casspi 1' Slam Dunk (10 PTS) (Udrih 6 AST)"", 23.6), (""MISS Ellington 25' 3PT Jump Shot"", 48.7)]"
NOH,20101027,"[(""'Delfino  3PT Jump Shot (19 PTS) (Jennings 10 AST)'"", 21.4)]"
OKC,20101027,[]
DAL,20101027,[]
SAS,20101027,[]
DEN,20101027,[]
GSW,20101027,[]
LAC,20101027,[]
ORL,20101028,[]
UTA,20101028,[]
CHA,20101029,"[(""MISS Dunleavy 26' 3PT Jump Shot"", 32.0), (""Hansbrough 15' Jump Shot (10 PTS) (Ford 4 AST)"", 21.4), (""MISS Ford 15' Jump Shot"", 23.8), (""MISS Thomas 2' Layup"", 45.2), (""'Hansbrough REBOUND (Off:1 Def:3)'"", 20.1), (""MISS Augustin 30' 3PT Jump Shot"", 38.7), (""MISS Jackson 26' 3PT Jump Shot"", 48.7)]"
NJN,20101029,"[(""Harris 25' 3PT Jump Shot (19 PTS) (Farmar 3 AST)"", 38.1), (""MISS Udrih 20' Jump Shot"", 29.3), (""Harris 17' Jump Shot (21 PTS)"", 23.7)]"
PHI,20101029,"[(""MISS Nocioni 27' 3PT Jump Shot"", 48.7)]"
TOR,20101029,[]
BOS,20101029,[]
