home_team,away_team,date,box_score,play_by_play,article
MIN,IND,20171024,,[],
POR,NOP,20171024,,"[(""MISS Cousins 24' 3PT Jump Shot"", 20.1), (""MISS Holiday 24' 3PT Step Back Jump Shot"", 24.7), (""MISS McCollum 28' 3PT Jump Shot"", 23.0), (""MISS Holiday 24' 3PT Jump Shot"", 28.0)]",
LAC,UTA,20171024,,[],
DET,MIN,20171025,,[],
PHI,HOU,20171025,,"[(""Gordon 24' 3PT Jump Shot (29 PTS) (Harden 13 AST)"", 94.2)]",
MIA,SAS,20171025,,[],
OKC,IND,20171025,,[],
DAL,MEM,20171025,,[],
GSW,TOR,20171025,,"[(""MISS Thompson 25' 3PT Pullup Jump Shot"", 20.7), (""MISS Curry 26' 3PT Step Back Jump Shot"", 21.4), (""Durant 26' 3PT Jump Shot (29 PTS)"", 31.3), (""MISS DeRozan 16' Pullup Jump Shot"", 28.3), (""Curry 26' 3PT Step Back Jump Shot (28 PTS) (Durant 5 AST)"", 43.8)]",
LAL,WAS,20171025,,"[(""MISS Kuzma 26' 3PT Jump Shot"", 20.3), (""'Randle REBOUND (Off:0 Def:7)'"", 20.7), (""MISS Ingram 4' Driving Layup"", 48.0), (""Ingram 1' Tip Layup Shot (19 PTS)"", 48.0), (""''"", 50.0)]",
CHI,ATL,20171026,,"[(""Belinelli 26' 3PT Jump Shot (23 PTS) (Delaney 4 AST)"", 32.2), (""Holiday 1' Reverse Layup (13 PTS) (Lopez 4 AST)"", 22.8), (""MISS Muscala 26' 3PT Jump Shot"", 39.0), (""MISS Grant 16' Jump Shot"", 21.7), (""Markkanen 25' 3PT Jump Shot (14 PTS) (Grant 7 AST)"", 29.2)]",
MEM,DAL,20171026,,"[(""Conley 28' 3PT Jump Shot (16 PTS) (Gasol 3 AST)"", 21.6), (""MISS Matthews 25' 3PT Jump Shot"", 23.6), (""MISS Conley 26' 3PT Jump Shot"", 22.8), (""MISS Smith Jr. 26' 3PT Jump Shot"", 40.8)]",
MIL,BOS,20171026,,[],
POR,LAC,20171026,,"[(""MISS Lillard 29' 3PT Pullup Jump Shot"", 29.3), (""MISS Beverley 25' 3PT Pullup Jump Shot"", 26.6), (""Nurkic 5' Turnaround Fadeaway Bank Jump Shot (12 PTS)"", 24.8), (""Griffin 1' Driving Finger Roll Layup (22 PTS)"", 26.8), (""McCollum 17' Pullup Jump Shot (22 PTS) (Aminu 2 AST)"", 30.9), (""MISS Gallinari 27' 3PT Jump Shot"", 54.4), (""Griffin 25' 3PT Pullup Jump Shot (25 PTS)"", 94.2)]",
SAC,NOP,20171026,,"[(""'Moore  3PT Jump Shot (12 PTS) (Clark 1 AST)'"", 20.7), (""Cousins 25' 3PT Jump Shot (37 PTS) (Holiday 7 AST)"", 29.2)]",
ORL,SAS,20171027,,[],
ATL,DEN,20171027,,[],
NYK,BRK,20171027,,[],
MIN,OKC,20171027,,"[(""MISS George 25' 3PT Jump Shot"", 20.4), (""MISS Anthony 25' 3PT Jump Shot"", 40.8)]",
GSW,WAS,20171027,,"[(""'MISS Iguodala  3PT Jump Shot'"", 21.5), (""MISS Wall 25' 3PT Pullup Jump Shot"", 39.7), (""'MISS Meeks  3PT Jump Shot'"", 48.7)]",
LAL,TOR,20171027,,[],
NOP,CLE,20171028,,[],
MIA,BOS,20171028,,[],
CHI,OKC,20171028,,[],
MEM,HOU,20171028,,[],
DAL,PHI,20171028,,"[(""'MISS Ferrell Free Throw 1 of 2'"", 37.0)]",
UTA,LAL,20171028,,[],
POR,PHO,20171028,,"[(""MISS Warren 26' 3PT Jump Shot"", 21.4), (""MISS Warren 1' Driving Layup"", 21.1), (""MISS Chriss 18' Jump Shot"", 24.2)]",
LAC,DET,20171028,,[],
ATL,MIL,20171029,,[],
IND,SAS,20171029,,"[(""Oladipo 1' Driving Finger Roll Layup (19 PTS)"", 21.4), (""Green 26' 3PT Jump Shot (8 PTS) (Ginobili 5 AST)"", 29.6), (""MISS Oladipo 1' Driving Layup"", 25.5), (""Green 1' Reverse Layup (10 PTS) (Gasol 5 AST)"", 26.7), (""MISS Collison 26' 3PT Jump Shot"", 43.1), (""MISS Young 11' Driving Layup"", 26.3), (""Oladipo 29' 3PT Jump Shot (23 PTS)"", 57.1), (""MISS Aldridge 19' Jump Shot"", 55.8), (""MISS Mills 26' 3PT Jump Shot"", 48.7)]",
SAC,WAS,20171029,,[],
CLE,NYK,20171029,,[],
GSW,DET,20171029,,"[(""MISS Curry 26' 3PT Turnaround Jump Shot"", 26.8)]",
BOS,SAS,20171030,,[],
MIA,MIN,20171030,,"[(""MISS Wiggins 4' Driving Finger Roll Layup"", 21.6), (""Wiggins 1' Tip Layup Shot (17 PTS)"", 21.7), (""Waiters 2' Driving Layup (26 PTS)"", 37.8), (""'MISS Towns  3PT Jump Shot'"", 50.3), (""''"", 50.0)]",
NYK,DEN,20171030,,"[(""MISS Harris 30' 3PT Jump Shot"", 20.6)]",
HOU,PHI,20171030,,[],
MEM,CHO,20171030,,"[(""MISS Williams 25' 3PT Jump Shot"", 22.5), (""MISS Conley 25' 3PT Pullup Jump Shot"", 25.2), (""Evans 28' 3PT Jump Shot (19 PTS) (Brooks 3 AST)"", 20.9), (""MISS Walker 26' 3PT Pullup Jump Shot"", 27.6), (""MISS Conley 27' 3PT Jump Shot"", 39.8), (""MISS Gasol 26' 3PT Jump Shot"", 32.0)]",
NOP,ORL,20171030,,[],
UTA,DAL,20171030,,[],
POR,TOR,20171030,,[],
LAC,GSW,20171030,,[],
IND,SAC,20171031,,[],
MIL,OKC,20171031,,[],
LAL,DET,20171031,,[],
CLE,IND,20171101,,[],
PHI,ATL,20171101,,[],
WAS,PHO,20171101,,"[(""Beal 26' 3PT Jump Shot (37 PTS) (Wall 6 AST)"", 20.3), (""'MISS Oubre Jr.  3PT Jump Shot'"", 21.6), (""'Warren  3PT Jump Shot (37 PTS) (Booker 5 AST)'"", 23.2)]",
BOS,SAC,20171101,,[],
MIA,CHI,20171101,,[],
NYK,HOU,20171101,,[],
MEM,ORL,20171101,,"[(""MISS Ross 19' Pullup Jump Shot"", 23.7), (""Gasol 5' Driving Floating Bank Jump Shot (22 PTS)"", 26.4), (""'Gordon  3PT Step Back Jump Shot (19 PTS) (Fournier 3 AST)'"", 41.9), (""MISS Chalmers 1' Running Layup"", 34.0), (""MISS Chalmers 26' 3PT Jump Shot"", 56.2), (""'Isaac REBOUND (Off:1 Def:3)'"", 20.8), (""MISS Brooks 25' 3PT Running Jump Shot"", 71.8)]",
NOP,MIN,20171101,,"[(""Wiggins 10' Floating Jump Shot (18 PTS)"", 20.5), (""MISS Wiggins 13' Turnaround Jump Shot"", 23.7), (""MISS Davis 11' Fadeaway Jumper"", 25.8), (""MISS Allen 2' Layup"", 28.1), (""Butler 20' Jump Shot (19 PTS)"", 32.4)]",
DEN,TOR,20171101,,[],
