home_team,date,plays
CLE,20161025,[]
CLE,20161025,[]
POR,20161025,"[(""McCollum 28' 3PT Pullup Jump Shot (23 PTS)"", 25.1), (""MISS G. Hill 25' 3PT Jump Shot"", 21.4)]"
GS,20161025,[]
ORL,20161026,[]
IND,20161026,"[(""MISS Nowitzki 27' 3PT Jump Shot"", 23.1), (""George 27' 3PT Jump Shot (20 PTS) (Teague 6 AST)"", 28.2), (""Matthews 27' 3PT Jump Shot (12 PTS) (D. Williams 6 AST)"", 25.9), (""MISS Teague 2' Layup"", 21.9), (""MISS Nowitzki 26' 3PT Jump Shot"", 33.8), (""Turner 18' Turnaround Jump Shot (25 PTS) (Teague 7 AST)"", 24.3), (""MISS Matthews 27' 3PT Jump Shot"", 40.6), (""Barnes 26' 3PT Jump Shot (14 PTS) (Nowitzki 2 AST)"", 43.0), (""MISS Turner 29' 3PT Jump Shot"", 50.2), (""''"", 50.0)]"
BOS,20161026,"[(""MISS Bogdanovic 26' 3PT Jump Shot"", 33.3), (""'MISS Hamilton  3PT Jump Shot'"", 33.5)]"
TOR,20161026,[]
MIL,20161026,[]
MEM,20161026,"[(""Towns 26' 3PT Step Back Jump Shot (21 PTS) (Rubio 8 AST)"", 35.0), (""Green 2' Tip Layup Shot (10 PTS)"", 22.8), (""MISS Towns 8' Driving Floating Jump Shot"", 25.0), (""MISS LaVine 17' Pullup Jump Shot"", 25.6), (""Gasol 12' Jump Shot (18 PTS) (Conley 4 AST)"", 22.0), (""MISS Towns 25' 3PT Jump Shot"", 32.4)]"
NO,20161026,"[(""MISS Moore 26' 3PT Jump Shot"", 33.3)]"
PHI,20161026,"[(""MISS Oladipo 26' 3PT Jump Shot"", 21.8), (""MISS Saric 26' 3PT Jump Shot"", 26.0), (""MISS Westbrook 1' Driving Layup"", 23.0), (""'MISS Henderson  3PT Jump Shot'"", 34.6), (""Westbrook 17' Step Back Jump Shot (30 PTS)"", 26.0), (""Embiid 13' Fadeaway Jumper (20 PTS)"", 23.8), (""MISS Embiid 3' Layup"", 26.3), (""MISS Henderson 6' Jump Shot"", 27.0)]"
PHX,20161026,[]
LAL,20161026,"[(""MISS Russell 31' 3PT Jump Shot"", 23.4), (""MISS Gordon 27' 3PT Jump Shot"", 31.4), (""Clarkson 29' 3PT Pullup Jump Shot (23 PTS)"", 27.0)]"
ATL,20161027,[]
