home_team,date,plays
CLE,20171017,"[(""'MISS Brown  3PT Jump Shot'"", 20.7), (""MISS James 26' 3PT Jump Shot"", 23.1), (""MISS Brown 24' 3PT Jump Shot"", 27.7), (""James 2' Layup (29 PTS)"", 25.0), (""'Love  3PT Jump Shot (15 PTS) (James 9 AST)'"", 29.3), (""MISS Brown 25' 3PT Jump Shot"", 43.0), (""MISS Irving 26' 3PT Jump Shot"", 48.7)]"
GSW,20171017,"[(""'MISS Tucker  3PT Jump Shot'"", 23.0), (""Ariza 25' 3PT Jump Shot (8 PTS) (Anderson 1 AST)"", 20.6), (""MISS Durant 9' Jump Shot"", 21.0), (""MISS Harden 11' Jump Shot"", 28.9), (""MISS Gordon 28' 3PT Jump Shot"", 47.0), (""MISS Harden 27' 3PT Jump Shot"", 26.7), (""'WARRIORS Rebound'"", 20.1), (""MISS Curry 26' 3PT Jump Shot"", 71.8)]"
DET,20171018,[]
IND,20171018,[]
ORL,20171018,[]
WAS,20171018,"[(""MISS Redick 25' 3PT Pullup Jump Shot"", 33.5)]"
BOS,20171018,"[(""'MISS Irving  3PT Jump Shot'"", 20.5), (""MISS Horford 27' 3PT Jump Shot"", 20.8), (""MISS Smart 27' 3PT Jump Shot"", 21.3)]"
MEM,20171018,[]
DAL,20171018,"[(""Powell 25' 3PT Jump Shot (6 PTS) (Barnes 3 AST)"", 20.2), (""'MISS Barnes  3PT Jump Shot'"", 23.2), (""'MISS Matthews  3PT Jump Shot'"", 22.2), (""Barnes 2' Running Layup (14 PTS) (Smith Jr. 10 AST)"", 22.1), (""MISS Schroder 20' Jump Shot"", 27.0), (""'Dedmon  Putback Layup (7 PTS)'"", 27.3)]"
UTA,20171018,[]
SAS,20171018,"[(""MISS Towns 26' 3PT Jump Shot"", 20.8)]"
PHO,20171018,[]
SAC,20171018,[]
TOR,20171019,[]
OKC,20171019,[]
LAL,20171019,[]
CHO,20171020,[]
IND,20171020,[]
PHI,20171020,[]
WAS,20171020,"[(""MISS Jackson 3' Layup"", 27.4)]"
MIL,20171020,[]
BRK,20171020,"[(""Fournier 25' 3PT Jump Shot (22 PTS) (Ross 2 AST)"", 21.0), (""Russell 19' Pullup Jump Shot (17 PTS)"", 20.4), (""'MISS Fournier  3PT Jump Shot'"", 40.8)]"
MIN,20171020,"[(""MISS Favors 26' 3PT Jump Shot"", 27.9), (""MISS Teague 1' Layup"", 33.0), (""MISS Butler 1' Layup"", 34.0), (""'Crawford  3PT Jump Shot (17 PTS) (Teague 4 AST)'"", 52.8), (""MISS Gobert 1' Layup"", 35.1), (""MISS Favors 15' Jump Shot"", 35.1), (""MISS Gobert 2' Layup"", 35.1), (""'MISS Johnson  3PT Jump Shot'"", 48.7)]"
DAL,20171020,"[(""MISS Barea 25' 3PT Jump Shot"", 33.6)]"
NOP,20171020,[]
PHO,20171020,"[(""'MISS Chriss  Layup'"", 42.6), (""'MISS Warren Free Throw 1 of 2'"", 34.0), (""MISS Warren 6' Tip Layup Shot"", 48.0)]"
TOR,20171021,[]
CLE,20171021,[]
MIA,20171021,[]
NYK,20171021,"[(""'Bradley  3PT Jump Shot (5 PTS) (Harris 1 AST)'"", 22.6), (""MISS Porzingis 24' 3PT Jump Shot"", 25.1), (""MISS Tolliver 24' 3PT Jump Shot"", 22.8), (""MISS Tolliver 26' 3PT Jump Shot"", 23.8), (""MISS Sessions 26' 3PT Jump Shot"", 30.1), (""Jackson 9' Driving Floating Jump Shot (11 PTS)"", 22.6), (""Harris 11' Turnaround Jump Shot (31 PTS)"", 22.9)]"
CHI,20171021,[]
HOU,20171021,[]
MEM,20171021,[]
MIL,20171021,"[(""Lillard 28' 3PT Jump Shot (24 PTS)"", 21.1), (""MISS Middleton 4' Driving Layup"", 20.3), (""MISS Brogdon 18' Jump Shot"", 21.0), (""MISS Middleton 16' Jump Shot"", 30.2), (""'MISS Antetokounmpo Free Throw 1 of 2'"", 20.6), (""Antetokounmpo 2' Running Dunk (44 PTS) (Brogdon 6 AST)"", 43.6), (""MISS Nurkic 6' Driving Layup"", 58.4)]"
DEN,20171021,[]
UTA,20171021,[]
LAC,20171021,[]
BRK,20171022,[]
OKC,20171022,"[(""MISS Westbrook 24' 3PT Pullup Jump Shot"", 20.2), (""'MISS Felton  3PT Jump Shot'"", 20.8), (""MISS George 26' 3PT Jump Shot"", 29.5), (""MISS Gibson 20' Jump Shot"", 23.4), (""Wiggins 1' Putback Dunk (24 PTS)"", 23.5), (""Westbrook 25' 3PT Pullup Jump Shot (31 PTS)"", 33.2), (""Towns 8' Driving Floating Jump Shot (27 PTS) (Butler 6 AST)"", 38.7), (""Anthony 24' 3PT Jump Shot (23 PTS) (Westbrook 10 AST)"", 66.8), (""Wiggins 30' 3PT Pullup Jump Shot (27 PTS)"", 96.0)]"
LAL,20171022,"[(""MISS Ball 26' 3PT Jump Shot"", 25.5), (""MISS Clarkson 25' 3PT Jump Shot"", 26.8), (""MISS Kuzma 26' 3PT Jump Shot"", 20.8)]"
DET,20171023,[]
MIA,20171023,[]
HOU,20171023,"[(""MISS Conley 26' 3PT Jump Shot"", 20.1), (""Conley 26' 3PT Jump Shot (10 PTS)"", 21.6), (""Conley 26' 3PT Jump Shot (13 PTS)"", 26.0), (""MISS Ariza 25' 3PT Jump Shot"", 21.2)]"
MIL,20171023,"[(""Kaminsky 26' 3PT Jump Shot (18 PTS) (Williams 1 AST)"", 21.4), (""MISS Walker 30' 3PT Jump Shot"", 27.5), (""MISS Williams 3' Layup"", 21.4), (""MISS Lamb 28' 3PT Jump Shot"", 37.4), (""MISS Williams 26' 3PT Jump Shot"", 39.8)]"
DAL,20171023,[]
SAS,20171023,[]
DEN,20171023,[]
PHO,20171023,"[(""Fox 7' Driving Floating Jump Shot (19 PTS)"", 23.2), (""'MISS Fox  Running Layup'"", 31.6), (""'Temple REBOUND (Off:1 Def:1)'"", 21.1), (""James 4' Driving Floating Bank Jump Shot (18 PTS)"", 35.8), (""'MISS Temple Free Throw 1 of 2'"", 20.7), (""MISS Temple 26' 3PT Running Pull-Up Jump Shot"", 81.3)]"
CLE,20171024,[]
ORL,20171024,"[(""Fournier 25' 3PT Jump Shot (22 PTS) (Augustin 6 AST)"", 20.9), (""MISS Russell 66' 3PT Jump Shot"", 21.9), (""MISS Booker 82' 3PT Turnaround Jump Shot"", 25.6), (""MISS Crabbe 27' 3PT Jump Shot"", 28.9), (""MISS Fournier 25' 3PT Jump Shot"", 28.8), (""MISS Crabbe 25' 3PT Jump Shot"", 44.7), (""Carroll 22' Jump Shot (17 PTS)"", 29.7), (""Gordon 25' 3PT Jump Shot (41 PTS) (Vucevic 1 AST)"", 50.4), (""MISS Russell 27' 3PT Jump Shot"", 48.2)]"
BOS,20171024,[]
MIN,20171024,[]
POR,20171024,"[(""MISS Cousins 24' 3PT Jump Shot"", 20.1), (""MISS Holiday 24' 3PT Step Back Jump Shot"", 24.7), (""MISS McCollum 28' 3PT Jump Shot"", 23.0), (""MISS Holiday 24' 3PT Jump Shot"", 28.0)]"
LAC,20171024,[]
CHO,20171025,[]
DET,20171025,[]
PHI,20171025,"[(""Gordon 24' 3PT Jump Shot (29 PTS) (Harden 13 AST)"", 94.2)]"
BRK,20171025,"[(""Crabbe 26' 3PT Jump Shot (19 PTS) (Dinwiddie 4 AST)"", 20.7), (""'MISS Green  3PT Jump Shot'"", 22.8), (""Dinwiddie 25' 3PT Jump Shot (17 PTS) (Hollis-Jefferson 2 AST)"", 24.3), (""Korver 27' 3PT Jump Shot (19 PTS) (James 12 AST)"", 30.1), (""'Carroll  3PT Jump Shot (17 PTS) (Dinwiddie 5 AST)'"", 26.7), (""MISS Love 26' 3PT Jump Shot"", 33.1), (""MISS Carroll 28' 3PT Jump Shot"", 35.8), (""Dinwiddie 31' 3PT Jump Shot (20 PTS)"", 48.0), (""MISS Smith 27' 3PT Jump Shot"", 46.6), (""'MISS James Free Throw 1 of 2'"", 22.7), (""MISS Love 1' Tip Layup Shot"", 36.4)]"
MIA,20171025,[]
OKC,20171025,[]
DAL,20171025,[]
PHO,20171025,[]
GSW,20171025,"[(""MISS Thompson 25' 3PT Pullup Jump Shot"", 20.7), (""MISS Curry 26' 3PT Step Back Jump Shot"", 21.4), (""Durant 26' 3PT Jump Shot (29 PTS)"", 31.3), (""MISS DeRozan 16' Pullup Jump Shot"", 28.3), (""Curry 26' 3PT Step Back Jump Shot (28 PTS) (Durant 5 AST)"", 43.8)]"
LAL,20171025,"[(""MISS Kuzma 26' 3PT Jump Shot"", 20.3), (""'Randle REBOUND (Off:0 Def:7)'"", 20.7), (""MISS Ingram 4' Driving Layup"", 48.0), (""Ingram 1' Tip Layup Shot (19 PTS)"", 48.0), (""''"", 50.0)]"
CHI,20171026,"[(""Belinelli 26' 3PT Jump Shot (23 PTS) (Delaney 4 AST)"", 32.2), (""Holiday 1' Reverse Layup (13 PTS) (Lopez 4 AST)"", 22.8), (""MISS Muscala 26' 3PT Jump Shot"", 39.0), (""MISS Grant 16' Jump Shot"", 21.7), (""Markkanen 25' 3PT Jump Shot (14 PTS) (Grant 7 AST)"", 29.2)]"
