home_team,date,plays
CLE,20121030,[]
MIA,20121030,[]
LAL,20121030,[]
TOR,20121031,"[(""'MISS West  3PT Jump Shot'"", 26.5), (""MISS Lowry 18' Pullup Jump Shot"", 21.4), (""MISS DeRozan 1' Driving Layup"", 30.2), (""'George REBOUND (Off:2 Def:12)'"", 20.3), (""'MISS Hill  3PT Jump Shot'"", 45.0), (""'Pacers Rebound'"", 22.8), (""Hill 5' Driving Hook Shot (8 PTS)"", 45.0), (""MISS Bargnani 16' Jump Shot"", 48.0)]"
PHI,20121031,[]
DET,20121031,[]
CHI,20121031,[]
NOH,20121031,"[(""Davis 1' Alley Oop Dunk (19 PTS) (Vasquez 13 AST)"", 23.0), (""MISS Duncan 3' Layup"", 24.6), (""Duncan 1' Tip Shot (22 PTS)"", 24.7), (""MISS Vasquez 2' Layup"", 26.5), (""Parker 24' 3PT Jump Shot (23 PTS) (Leonard 1 AST)"", 45.9), (""MISS Vasquez 25' 3PT Jump Shot"", 48.4)]"
UTA,20121031,[]
PHO,20121031,"[(""'MISS Dragic  3PT Jump Shot'"", 23.1), (""MISS Dudley 25' 3PT Jump Shot"", 32.0), (""Scola 9' Turnaround Bank Shot (15 PTS)"", 21.9), (""Landry 2' Dunk (15 PTS) (Lee 3 AST)"", 24.6), (""MISS Scola 19' Jump Shot"", 26.5), (""Landry 17' Jump Shot (17 PTS) (Jack 7 AST)"", 22.2), (""MISS Dudley 26' 3PT Jump Shot"", 33.0)]"
LAC,20121031,[]
POR,20121031,[]
BRK,20121126,"[(""MISS Felton 11' Pullup Jump Shot"", 20.9), (""MISS Felton 19' Jump Shot"", 22.9), (""'Lopez Free Throw 1 of 2 (20 PTS)'"", 21.6), (""'Anthony REBOUND (Off:6 Def:7)'"", 22.8), (""MISS Anthony 16' Jump Shot"", 42.9), (""MISS D. Williams 33' 3PT Jump Shot"", 50.2), (""''"", 50.0)]"
SAS,20121101,"[(""MISS Jackson 25' 3PT Jump Shot"", 23.7), (""MISS Durant 27' 3PT Jump Shot"", 28.7), (""MISS Duncan 17' Jump Shot"", 20.1), (""MISS Westbrook 26' 3PT Jump Shot"", 27.3), (""Parker 24' 3PT Jump Shot (12 PTS) (Diaw 4 AST)"", 33.3), (""Parker 21' Jump Shot (14 PTS) (Green 2 AST)"", 48.0)]"
CHA,20121102,"[(""MISS Thomas 2' Layup"", 20.2), (""MISS Walker 15' Jump Shot"", 21.6), (""MISS George 3' Layup"", 32.0), (""MISS Walker 20' Jump Shot"", 22.6), (""'West REBOUND (Off:0 Def:6)'"", 20.5), (""'MISS Augustin  3PT Jump Shot'"", 96.0)]"
ORL,20121102,[]
BOS,20121102,[]
ATL,20121102,"[(""MISS Smith 24' 3PT Jump Shot"", 24.6)]"
CLE,20121102,[]
NYK,20121102,[]
NOH,20121102,"[(""MISS Williams 26' 3PT Jump Shot"", 23.7), (""'Millsap  Driving Slam Dunk (8 PTS) (Hayward 3 AST)'"", 20.4), (""MISS Millsap 20' Jump Shot"", 20.2), (""MISS Lopez 4' Jump Shot"", 26.2), (""'MISS Mason Jr.  3PT Jump Shot'"", 45.0), (""'Anderson  3PT Jump Shot (19 PTS) (Aminu 2 AST)'"", 46.8), (""MISS Williams 6' Driving Jump Shot"", 36.2), (""MISS Foye 19' Jump Shot"", 38.5), (""'Mason Jr. REBOUND (Off:0 Def:2)'"", 20.5), (""MISS Williams 26' 3PT Jump Shot"", 33.9), (""'Millsap  3PT Jump Shot (11 PTS) (Williams 4 AST)'"", 37.0), (""Vasquez 5' Driving Bank Shot (13 PTS)"", 43.9), (""MISS Williams 27' 3PT Fadeaway Jumper"", 94.2)]"
OKC,20121102,[]
