home_team,date,plays
ATL,20151027,[]
CHI,20151027,"[(""MISS James 2' Driving Layup"", 37.8)]"
GS,20151027,[]
ORL,20151028,"[(""MISS Payton 24' 3PT Jump Shot"", 21.4), (""Hezonja 24' 3PT Jump Shot (11 PTS) (Vucevic 2 AST)"", 28.4), (""MISS Beal 24' 3PT Jump Shot"", 25.5), (""MISS Beal 26' 3PT Jump Shot"", 31.1), (""'MISS Neal  3PT Jump Shot'"", 31.9), (""MISS Porter Jr. 24' 3PT Jump Shot"", 51.3), (""MISS Payton 13' Floating Jump Shot"", 23.4), (""Wall 5' Floating Jump Shot (22 PTS)"", 42.3), (""MISS Harris 2' Driving Layup"", 64.2), (""MISS Vucevic 18' Jump Shot"", 93.4)]"
BOS,20151028,[]
BKN,20151028,[]
DET,20151028,"[(""MISS Marc Morris 5' Jump Shot"", 21.4), (""MISS Favors 10' Jump Shot"", 28.9), (""Hayward 1' Driving Layup (13 PTS)"", 35.6), (""Jackson 1' Driving Layup (17 PTS)"", 37.9), (""MISS Burks 13' Jump Shot"", 47.0), (""MISS Hood 26' 3PT Jump Shot"", 38.7)]"
MIA,20151028,[]
TOR,20151028,"[(""MISS Mahinmi 15' Jump Shot"", 22.6), (""DeRozan 4' Driving Floating Jump Shot (20 PTS)"", 23.6), (""DeRozan 16' Pullup Jump Shot (23 PTS)"", 22.5)]"
HOU,20151028,[]
MEM,20151028,[]
MIL,20151028,[]
OKC,20151028,"[(""MISS Aldridge 13' Jump Shot"", 21.8), (""Waiters 14' Fadeaway Jumper (8 PTS)"", 23.2), (""MISS Leonard 13' Jump Shot"", 21.6), (""MISS Green 24' 3PT Jump Shot"", 54.4)]"
PHX,20151028,[]
POR,20151028,[]
SAC,20151028,"[(""Redick 24' 3PT Jump Shot (13 PTS) (Paul 10 AST)"", 21.1), (""MISS Collison 25' 3PT Jump Shot"", 25.0)]"
LAL,20151028,"[(""MISS Williams 4' Jump Shot"", 93.4)]"
IND,20151029,"[(""Green 26' 3PT Pullup Jump Shot (9 PTS) (Lee 1 AST)"", 22.6), (""MISS George 27' 3PT Jump Shot"", 21.5), (""MISS Ellis 24' 3PT Jump Shot"", 20.8)]"
NY,20151029,[]
LAC,20151029,[]
CLE,20151030,[]
ORL,20151030,"[(""'Augustin  3PT Jump Shot (12 PTS) (Durant 2 AST)'"", 21.3), (""MISS Payton 3' Driving Layup"", 21.9), (""MISS Waiters 25' 3PT Jump Shot"", 48.3), (""Durant 26' 3PT Jump Shot (39 PTS) (Waiters 2 AST)"", 33.9), (""Oladipo 26' 3PT Jump Shot (18 PTS)"", 49.3), (""Westbrook 38' 3PT Running Jump Shot (34 PTS)"", 48.7), (""''"", 50.0)]"
PHI,20151030,[]
BOS,20151030,[]
DET,20151030,"[(""MISS Snell 26' 3PT Jump Shot"", 23.0), (""MISS Rose 7' Jump Shot"", 22.0), (""MISS Jackson 2' Layup"", 22.1), (""'Drummond  Tip Layup Shot (15 PTS)'"", 22.7), (""Rose 1' Driving Layup (8 PTS)"", 20.8), (""MISS Jackson 26' 3PT Jump Shot"", 37.8), (""MISS Jackson 17' Jump Shot"", 34.1), (""'Rose REBOUND (Off:0 Def:2)'"", 22.8), (""MISS Rose 17' Jump Shot"", 45.0), (""''"", 50.0)]"
ATL,20151030,"[(""MISS Walker 25' 3PT Pullup Jump Shot"", 48.7)]"
MIL,20151030,"[(""Beal 25' 3PT Jump Shot (23 PTS) (Nene 4 AST)"", 24.5), (""'Sessions  3PT Jump Shot (23 PTS) (Wall 9 AST)'"", 24.6), (""MISS Middleton 24' 3PT Jump Shot"", 20.6)]"
SA,20151030,[]
DEN,20151030,[]
HOU,20151030,[]
SAC,20151030,[]
PHX,20151030,[]
IND,20151031,[]
WSH,20151031,"[(""Galloway 24' 3PT Jump Shot (9 PTS) (Vujacic 4 AST)"", 21.5), (""MISS Dudley 25' 3PT Jump Shot"", 23.3), (""MISS Vujacic 18' Jump Shot"", 22.6), (""Anthony 23' Jump Shot (33 PTS)"", 23.1), (""MISS Dudley 24' 3PT Jump Shot"", 36.9)]"
NO,20151031,[]
MEM,20151031,[]
POR,20151031,[]
LAC,20151031,"[(""MISS Gay 25' 3PT Jump Shot"", 32.8)]"
