home_team,date,plays
NY,20111225,"[(""Anthony 25' 3PT Jump Shot (32 PTS) (Stoudemire 2 AST)"", 20.3), (""MISS Garnett 14' Jump Shot"", 21.7), (""MISS Allen 21' Jump Shot"", 22.1), (""Anthony 19' Jump Shot (35 PTS)"", 23.2), (""Daniels 1' Layup (4 PTS) (Rondo 13 AST)"", 21.8), (""MISS Bass 4' Jump Shot"", 31.3), (""'Allen REBOUND (Off:3 Def:1)'"", 20.9), (""'MISS Daniels  3PT Jump Shot'"", 64.6), (""MISS Garnett 14' Jump Shot"", 48.0)]"
DAL,20111225,[]
LAL,20111225,"[(""Rose 9' Hook Shot (22 PTS)"", 58.4), (""MISS Bryant 6' Jump Shot"", 78.5)]"
OKC,20111225,[]
GS,20111225,[]
WSH,20111226,[]
CHA,20111226,"[(""Dunleavy 24' 3PT Jump Shot (13 PTS) (Jennings 4 AST)"", 36.7), (""MISS Dunleavy 25' 3PT Jump Shot"", 43.1), (""Bogut 8' Jump Shot (17 PTS) (Udrih 3 AST)"", 29.5), (""Augustin 1' Driving Layup (18 PTS)"", 32.6), (""MISS Jennings 21' Jump Shot"", 34.7), (""MISS Dunleavy 25' 3PT Jump Shot"", 55.6)]"
ORL,20111226,[]
CLE,20111226,[]
IND,20111226,[]
MIN,20111226,"[(""MISS Durant 14' Jump Shot"", 22.8), (""Perkins 1' Layup (2 PTS) (Harden 3 AST)"", 23.4), (""MISS Beasley 11' Jump Shot"", 22.1), (""MISS Beasley 3' Jump Shot"", 36.4)]"
DAL,20111226,[]
SA,20111226,[]
PHX,20111226,"[(""'MISS Dudley  3PT Jump Shot'"", 26.7), (""MISS Nash 18' Jump Shot"", 21.9), (""'MISS Ariza Free Throw 1 of 2'"", 20.1), (""MISS Dudley 10' Jump Shot"", 22.6), (""'Ariza REBOUND (Off:1 Def:6)'"", 20.7), (""Gordon 20' Jump Shot (20 PTS)"", 58.4)]"
SAC,20111226,[]
POR,20111226,"[(""MISS Iguodala 28' 3PT Jump Shot"", 39.7)]"
GS,20111226,[]
NJ,20111227,[]
MIA,20111227,[]
MIL,20111227,"[(""MISS Love 26' 3PT Jump Shot"", 43.0)]"
POR,20111227,[]
LAL,20111227,[]
TOR,20111228,[]
CHA,20111228,"[(""MISS Maggette 26' 3PT Jump Shot"", 26.7), (""'Henderson  3PT Jump Shot (21 PTS) (Diaw 8 AST)'"", 54.4), (""Wade 6' Jump Bank Shot (10 PTS)"", 76.5), (""MISS Augustin 28' 3PT Jump Shot"", 96.0)]"
ATL,20111228,[]
DET,20111228,[]
MEM,20111228,"[(""MISS Randolph 53' 3PT Jump Shot"", 48.7)]"
NO,20111228,[]
SA,20111228,[]
DEN,20111228,[]
PHX,20111228,[]
GS,20111228,[]
ORL,20111229,[]
HOU,20111229,[]
OKC,20111229,"[(""MISS Durant 25' 3PT Jump Shot"", 23.0), (""'MISS Terry  3PT Jump Shot'"", 25.3), (""Nowitzki 24' 3PT Jump Shot (29 PTS) (Terry 9 AST)"", 27.9), (""Durant 16' Jump Shot (26 PTS)"", 24.3), (""Carter 24' 3PT Jump Shot (8 PTS) (Nowitzki 4 AST)"", 81.3), (""Durant 27' 3PT Jump Shot (30 PTS) (Sefolosha 2 AST)"", 96.0)]"
SAC,20111229,[]
POR,20111229,"[(""MISS Gallinari 25' 3PT Jump Shot"", 20.2)]"
LAL,20111229,[]
CHA,20111230,[]
IND,20111230,"[(""MISS Irving 10' Jump Shot"", 26.9), (""MISS Hill 9' Jump Shot"", 23.0), (""Parker 27' 3PT Jump Shot (7 PTS) (Gee 4 AST)"", 56.2), (""West 7' Floating Jump Shot (12 PTS)"", 36.4), (""MISS Irving 1' Layup"", 48.0), (""''"", 50.0)]"
BOS,20111230,[]
ATL,20111230,"[(""MISS Morrow 15' Running Jump Shot"", 21.8), (""MISS D. Williams 2' Driving Reverse Layup"", 24.8)]"
MEM,20111230,[]
NO,20111230,[]
