home_team,date,plays
IND,20131029,[]
MIA,20131029,[]
LAL,20131029,[]
CLE,20131030,"[(""MISS Waiters 26' 3PT Jump Shot"", 21.0), (""MISS Anderson 24' 3PT Jump Shot"", 23.6), (""Lopez 1' Alley Oop Layup (21 PTS) (Garnett 3 AST)"", 22.8), (""MISS Irving 26' 3PT Jump Shot"", 41.7), (""'Clark REBOUND (Off:3 Def:5)'"", 20.4), (""Varejao 14' Jump Shot (10 PTS) (Irving 9 AST)"", 33.5), (""MISS Pierce 18' Jump Shot"", 26.8)]"
PHI,20131030,"[(""MISS Chalmers 1' Layup"", 21.4), (""'MISS Turner  3PT Jump Shot'"", 27.4), (""MISS Turner 24' 3PT Jump Shot"", 28.2), (""MISS Turner 1' Layup"", 22.4), (""MISS James 6' Jump Shot"", 34.2), (""'MISS Battier  3PT Jump Shot'"", 49.7)]"
TOR,20131030,[]
DET,20131030,[]
NY,20131030,"[(""MISS Felton 24' 3PT Jump Shot"", 22.8), (""MISS Shumpert 24' 3PT Jump Shot"", 26.8)]"
HOU,20131030,[]
MIN,20131030,"[(""MISS Martin 25' 3PT Jump Shot"", 25.7), (""MISS Afflalo 21' Step Back Jump Shot"", 21.2), (""MISS Love 25' 3PT Jump Shot"", 27.6), (""MISS Vucevic 1' Running Layup"", 24.8), (""MISS Nelson 25' 3PT Jump Shot"", 45.6), (""Afflalo 2' Driving Layup (24 PTS)"", 35.4), (""MISS Rubio 19' Pullup Jump Shot"", 39.2), (""'Oladipo REBOUND (Off:0 Def:6)'"", 20.7), (""Love 25' 3PT Jump Shot (30 PTS) (Rubio 9 AST)"", 35.1), (""MISS Afflalo 16' Turnaround Fadeaway Shot"", 43.9), (""''"", 50.0)]"
NO,20131030,"[(""MISS George 26' 3PT Jump Shot"", 20.1), (""MISS George 26' 3PT Jump Shot"", 28.8), (""MISS Holiday 19' Jump Shot"", 20.3), (""MISS Davis 1' Layup"", 28.9), (""Hill 25' 3PT Jump Shot (19 PTS)"", 29.3)]"
DAL,20131030,[]
SA,20131030,[]
