home_team,date,plays
SAS,20071030,[]
LAL,20071030,"[(""Fisher 20' Jump Shot (17 PTS) (Bryant 4 AST)"", 27.8), (""Battier 27' 3PT Jump Shot (11 PTS) (McGrady 4 AST)"", 47.4)]"
GSW,20071030,[]
TOR,20071031,[]
ORL,20071031,[]
IND,20071031,"[(""MISS Dunleavy 26' 3PT Jump Shot"", 21.4), (""MISS Arenas 6' Jump Shot"", 30.7), (""'MISS Butler Free Throw 1 of 2'"", 22.0), (""Arenas 25' 3PT Jump Shot (31 PTS)"", 48.7), (""''"", 50.0)]"
NJN,20071031,"[(""Nocioni 25' 3PT Jump Shot (5 PTS) (Hinrich 2 AST)"", 32.6), (""MISS Carter 17' Jump Shot"", 34.6), (""'Nocioni REBOUND (Off:1 Def:4)'"", 23.5), (""MISS Gordon 27' 3PT Jump Shot"", 47.4), (""'MISS Wallace  Layup'"", 48.0), (""''"", 50.0)]"
CLE,20071031,[]
MEM,20071031,"[(""'Gasol  Driving Reverse Layup (22 PTS)'"", 20.2), (""MISS Stoudamire 19' Jump Shot"", 23.8), (""MISS Bonner 21' Jump Shot"", 26.3), (""'MISS Gasol  Running Finger Roll Layup'"", 29.5), (""'MISS Gasol  Driving Layup'"", 30.9), (""'Duncan REBOUND (Off:4 Def:5)'"", 20.7), (""'Ginobili  Driving Layup (23 PTS)'"", 32.8), (""MISS Gay 37' 3PT Jump Shot"", 43.0)]"
NOH,20071031,[]
DEN,20071031,[]
MIA,20071101,[]
UTA,20071101,[]
SEA,20071101,[]
CHA,20071102,"[(""MISS Williams 19' Jump Shot"", 30.7)]"
ORL,20071102,[]
IND,20071102,"[(""Rush 24' 3PT Jump Shot (3 PTS) (Tinsley 10 AST)"", 27.6), (""MISS Williams 27' 3PT Jump Shot"", 36.2), (""'Rush  3PT Jump Shot (6 PTS) (Dunleavy 3 AST)'"", 37.3)]"
NJN,20071102,[]
ATL,20071102,"[(""Lue 27' 3PT Jump Shot (13 PTS)"", 20.4), (""MISS Terry 28' 3PT Jump Shot"", 35.7)]"
CLE,20071102,[]
BOS,20071102,[]
NOH,20071102,[]
MIN,20071102,[]
CHI,20071102,[]
SAS,20071102,[]
PHO,20071102,[]
LAC,20071102,"[(""Mobley 16' Fadeaway Jumper (19 PTS)"", 20.7), (""MISS Pietrus 24' 3PT Jump Shot"", 31.3)]"
PHI,20071103,[]
WAS,20071103,[]
MEM,20071103,[]
MIL,20071103,[]
HOU,20071103,[]
DAL,20071103,[]
UTA,20071103,[]
TOR,20071104,"[(""Posey 24' 3PT Jump Shot (8 PTS) (Garnett 5 AST)"", 23.8), (""Posey 24' 3PT Jump Shot (11 PTS) (Garnett 6 AST)"", 24.4), (""MISS Kapono 28' 3PT Jump Shot"", 37.7), (""'Ford  Driving Layup (21 PTS)'"", 26.1), (""MISS Pierce 20' Jump Shot"", 43.7), (""MISS Delfino 53' 3PT Running Jump Shot"", 50.2), (""''"", 50.0)]"
LAC,20071104,[]
NYK,20071104,"[(""MISS Walker 25' 3PT Jump Shot"", 37.8)]"
MIA,20071104,[]
DET,20071104,"[(""MISS Billups 25' 3PT Jump Shot"", 28.8), (""'Smith Free Throw 2 of 3 (12 PTS)'"", 22.7), (""'Smith Free Throw 3 of 3 (13 PTS)'"", 24.4)]"
DEN,20071104,[]
PHO,20071104,[]
LAL,20071104,[]
DAL,20071105,[]
CHA,20071106,[]
NJN,20071106,[]
NYK,20071106,"[(""MISS Anthony 25' 3PT Jump Shot"", 20.4), (""Iverson 26' 3PT Jump Shot (32 PTS)"", 22.7)]"
MIL,20071106,[]
MIN,20071106,[]
CHI,20071106,"[(""Maggette 25' 3PT Jump Shot (16 PTS) (Thomas 3 AST)"", 29.4)]"
HOU,20071106,[]
SAC,20071106,"[(""MISS Garcia 8' Jump Shot"", 33.0), (""'Garcia  3PT Jump Shot (9 PTS) (Miller 2 AST)'"", 52.5), (""MISS Wilkins 14' Jump Shot"", 29.0)]"
LAL,20071106,[]
GSW,20071106,"[(""MISS Gibson 27' 3PT Jump Shot"", 23.1), (""Jones 26' 3PT Turnaround Jump Shot (10 PTS) (Gibson 3 AST)"", 26.9), (""MISS Harrington 26' 3PT Jump Shot"", 25.0), (""Gibson 25' 3PT Jump Shot (22 PTS) (Ilgauskas 1 AST)"", 28.8)]"
TOR,20071107,"[(""Bargnani 24' 3PT Jump Shot (16 PTS) (Calderon 6 AST)"", 20.3), (""Lewis 25' 3PT Jump Shot (24 PTS) (Turkoglu 6 AST)"", 22.2)]"
PHI,20071107,[]
ATL,20071107,[]
IND,20071107,[]
BOS,20071107,[]
SAS,20071107,[]
UTA,20071107,"[(""James 24' 3PT Jump Shot (32 PTS) (Brown 2 AST)"", 37.8), (""'D. Williams  Driving Layup (15 PTS)'"", 43.9), (""MISS Jones 35' 3PT Jump Shot"", 94.2)]"
SEA,20071107,[]
POR,20071107,[]
NJN,20071108,"[(""Jefferson 25' 3PT Jump Shot (20 PTS) (Kidd 9 AST)"", 24.2), (""MISS Arenas 26' 3PT Jump Shot"", 25.7), (""MISS Jamison 25' 3PT Jump Shot"", 43.1), (""'MISS Songaila  Layup'"", 24.7), (""MISS Kidd 24' 3PT Jump Shot"", 44.7), (""'Jefferson REBOUND (Off:3 Def:3)'"", 22.3), (""MISS Arenas 20' Jump Shot"", 42.0)]"
CHI,20071108,"[(""MISS Smith 16' Jump Shot"", 22.2), (""MISS Wallace 9' Jump Bank Shot"", 33.3), (""MISS Wallace 9' Jump Shot"", 27.0), (""MISS Hamilton 25' 3PT Jump Shot"", 38.7)]"
GSW,20071108,"[(""MISS Terry 26' 3PT Jump Shot"", 25.7), (""MISS Harrington 26' 3PT Jump Shot"", 32.9), (""'Stackhouse  3PT Jump Shot (14 PTS) (Nowitzki 3 AST)'"", 29.4), (""MISS Davis 25' 3PT Jump Shot"", 39.7)]"
PHI,20071109,"[(""'Delfino REBOUND (Off:2 Def:6)'"", 20.7), (""'MISS Miller  Layup'"", 35.1)]"
CHA,20071109,[]
BOS,20071109,[]
NYK,20071109,[]
MIA,20071109,"[(""MISS Barbosa 25' 3PT Jump Shot"", 23.6), (""Nash 24' 3PT Jump Shot (25 PTS)"", 26.2), (""MISS Parker 24' 3PT Jump Shot"", 28.2), (""MISS Davis 26' 3PT Jump Shot"", 37.0)]"
WAS,20071109,[]
DET,20071109,[]
NOH,20071109,[]
HOU,20071109,[]
POR,20071109,[]
LAL,20071109,[]
SAC,20071109,"[(""MISS Gibson 26' 3PT Jump Shot"", 20.7), (""MISS Miller 21' Jump Shot"", 21.4), (""'James  Dunk (21 PTS)'"", 21.8), (""MISS Martin 17' Jump Shot"", 33.9), (""MISS Martin 18' Jump Shot"", 48.0)]"
SEA,20071109,"[(""D. Williams 15' Jump Shot (14 PTS) (Boozer 4 AST)"", 22.3), (""MISS West 18' Jump Shot"", 21.0), (""Durant 6' Floating Jump Shot (20 PTS)"", 23.1), (""MISS Okur 15' Jump Shot"", 30.4), (""'SUPERSONICS Rebound'"", 20.1), (""'Boozer  Finger Roll Layup (27 PTS) (D. Williams 11 AST)'"", 34.9), (""'MISS Durant  Layup'"", 42.6)]"
ORL,20071110,[]
IND,20071110,"[(""MISS Kleiza 26' 3PT Jump Shot"", 20.2), (""MISS Tinsley 26' 3PT Jump Shot"", 34.3), (""MISS Granger 26' 3PT Jump Shot"", 38.5)]"
NJN,20071110,[]
CHI,20071110,[]
UTA,20071110,[]
SAC,20071110,"[(""MISS Jaric 26' 3PT Jump Shot"", 20.1), (""MISS Martin 25' 3PT Jump Shot"", 20.8), (""MISS Martin 24' 3PT Jump Shot"", 25.1), (""McCants 25' 3PT Jump Shot (16 PTS) (Jefferson 2 AST)"", 21.2), (""Udrih 18' Jump Shot (9 PTS)"", 22.8)]"
POR,20071110,[]
ATL,20071111,[]
NYK,20071111,"[(""MISS Davis 26' 3PT Jump Shot"", 21.4), (""Williams 16' Jump Shot (15 PTS) (Davis 3 AST)"", 36.9), (""MISS Marbury 24' 3PT Jump Shot"", 39.7)]"
PHI,20071111,[]
CHA,20071111,"[(""'Richardson  Driving Layup (16 PTS)'"", 26.0), (""McGrady 10' Running Jump Shot (25 PTS)"", 23.5), (""MISS Alston 28' 3PT Jump Shot"", 54.7), (""'Yao Free Throw 1 of 2 (33 PTS)'"", 22.3)]"
SAS,20071111,[]
SEA,20071111,"[(""MISS Collison 7' Jump Shot"", 21.1), (""Wallace 16' Turnaround Jump Shot (15 PTS) (Prince 5 AST)"", 22.9)]"
LAC,20071111,[]
NJN,20071112,"[(""Peterson 24' 3PT Jump Shot (9 PTS) (Paul 7 AST)"", 21.0), (""'Kidd REBOUND (Off:2 Def:7)'"", 20.4), (""MISS Krstic 10' Turnaround Jump Shot"", 34.8), (""'West REBOUND (Off:0 Def:8)'"", 24.0), (""'Paul  Driving Layup (27 PTS)'"", 45.0), (""MISS Wright 19' Turnaround Fadeaway Shot"", 42.6)]"
DEN,20071112,[]
UTA,20071112,[]
CHA,20071113,[]
ORL,20071113,[]
IND,20071113,[]
